run,case,rep,tok_s,ms_per_step,tok_per_step,accept_len,prompt_tokens
baseline-mtp3,prose,0,20.56,102.77,2.113,2.113,42
baseline-mtp3,prose,1,23.54,89.73,2.113,2.113,42
baseline-mtp3,code,0,31.67,101.86,3.226,3.247,51
baseline-mtp3,code,1,35.63,90.53,3.226,3.247,51
baseline-mtp3,repeat,0,40.81,95.47,3.896,3.909,1020
baseline-mtp3,repeat,1,41.96,92.85,3.896,3.909,1020
e1-baseline,prose,0,20.77,101.73,2.113,2.113,42
e1-baseline,prose,1,24.28,87.01,2.113,2.113,42
e1-baseline,prose,2,24.48,86.32,2.113,2.113,42
e1-baseline,code,0,32.03,100.72,3.226,3.247,51
e1-baseline,code,1,36.8,87.66,3.226,3.247,51
e1-baseline,code,2,37.16,86.8,3.226,3.247,51
e1-baseline,repeat,0,43.45,89.67,3.896,3.909,1020
e1-baseline,repeat,1,43.68,89.21,3.896,3.909,1020
e1-baseline,repeat,2,43.61,89.34,3.896,3.909,1020
e10-frspec-p1,prose,0,20.56,102.05,2.098,2.098,42
e10-frspec-p1,prose,1,24.71,84.91,2.098,2.098,42
e10-frspec-p1,code,0,30.55,102.3,3.125,3.146,51
e10-frspec-p1,code,1,36.98,84.5,3.125,3.146,51
e10-frspec-p1,repeat,0,43.6,88.22,3.846,3.833,1020
e10-frspec-p1,repeat,1,43.05,89.35,3.846,3.833,1020
e10-frspec-p2,prose,0,24.74,84.81,2.098,2.098,42
e10-frspec-p2,prose,1,24.89,84.27,2.098,2.098,42
e10-frspec-p2,code,0,36.19,86.35,3.125,3.146,51
e10-frspec-p2,code,1,36.65,85.26,3.125,3.146,51
e10-frspec-p2,repeat,0,44.42,86.58,3.846,3.833,1020
e10-frspec-p2,repeat,1,42.94,89.57,3.846,3.833,1020
e10-frspec-p3,prose,0,24.8,84.6,2.098,2.098,42
e10-frspec-p3,prose,1,24.81,84.55,2.098,2.098,42
e10-frspec-p3,code,0,35.98,86.85,3.125,3.146,51
e10-frspec-p3,code,1,36.42,85.81,3.125,3.146,51
e10-frspec-p3,repeat,0,44.12,87.17,3.846,3.833,1020
e10-frspec-p3,repeat,1,43.15,89.14,3.846,3.833,1020
e12-hybrid-p1,prose,0,25.72,85.13,2.19,2.182,42
e12-hybrid-p1,prose,1,31.2,70.18,2.19,2.182,42
e12-hybrid-p1,code,0,39.15,84.21,3.297,3.286,51
e12-hybrid-p1,code,1,46.22,71.32,3.297,3.286,51
e12-hybrid-p1,repeat,0,51.41,75.78,3.896,3.883,1020
e12-hybrid-p1,repeat,1,52.16,74.7,3.896,3.883,1020
e12-hybrid-p2,prose,0,30.69,71.36,2.19,2.182,42
e12-hybrid-p2,prose,1,30.7,71.32,2.19,2.182,42
e12-hybrid-p2,code,0,46.26,71.26,3.297,3.286,51
e12-hybrid-p2,code,1,45.28,72.81,3.297,3.286,51
e12-hybrid-p2,repeat,0,52.24,74.58,3.896,3.883,1020
e12-hybrid-p2,repeat,1,52.59,74.08,3.896,3.883,1020
e12-hybrid-p3,prose,0,30.96,70.74,2.19,2.182,42
e12-hybrid-p3,prose,1,30.77,71.17,2.19,2.182,42
e12-hybrid-p3,code,0,45.37,72.66,3.297,3.286,51
e12-hybrid-p3,code,1,45.59,72.32,3.297,3.286,51
e12-hybrid-p3,repeat,0,52.11,74.76,3.896,3.883,1020
e12-hybrid-p3,repeat,1,52.21,74.63,3.896,3.883,1020
e13-hybrid-only-p1,prose,0,20.81,105.99,2.206,2.199,42
e13-hybrid-only-p1,prose,1,24.3,90.77,2.206,2.199,42
e13-hybrid-only-p1,code,0,32.68,104.33,3.409,3.398,51
e13-hybrid-only-p1,code,1,36.61,93.11,3.409,3.398,51
e13-hybrid-only-p1,repeat,0,42.15,93.65,3.947,3.934,1020
e13-hybrid-only-p1,repeat,1,41.21,95.79,3.947,3.934,1020
e13-hybrid-only-p2,prose,0,24.25,90.97,2.206,2.199,42
e13-hybrid-only-p2,prose,1,24.01,91.87,2.206,2.199,42
e13-hybrid-only-p2,code,0,37.05,92.02,3.409,3.398,51
e13-hybrid-only-p2,code,1,36.55,93.28,3.409,3.398,51
e13-hybrid-only-p2,repeat,0,41.0,96.28,3.947,3.934,1020
e13-hybrid-only-p2,repeat,1,41.49,95.15,3.947,3.934,1020
e13-hybrid-only-p3,prose,0,24.13,91.42,2.206,2.199,42
e13-hybrid-only-p3,prose,1,24.07,91.65,2.206,2.199,42
e13-hybrid-only-p3,code,0,36.51,93.37,3.409,3.398,51
e13-hybrid-only-p3,code,1,36.9,92.38,3.409,3.398,51
e13-hybrid-only-p3,repeat,0,42.01,93.96,3.947,3.934,1020
e13-hybrid-only-p3,repeat,1,41.03,96.2,3.947,3.934,1020
e3-frspec32k,prose,0,10.94,102.31,1.119,1.116,42
e3-frspec32k,prose,1,12.55,89.2,1.119,1.116,42
e3-frspec32k,prose,2,12.38,90.38,1.119,1.116,42
e3-frspec32k,code,0,11.63,100.02,1.163,1.159,51
e3-frspec32k,code,1,13.24,87.8,1.163,1.159,51
e3-frspec32k,code,2,13.87,83.82,1.163,1.159,51
e3-frspec32k,repeat,0,12.75,89.44,1.141,1.137,1020
e3-frspec32k,repeat,1,13.33,85.58,1.141,1.137,1020
e3-frspec32k,repeat,2,13.46,84.73,1.141,1.137,1020
e4-frspec32k-v2,prose,0,11.45,97.75,1.119,1.116,42
e4-frspec32k-v2,prose,1,13.33,83.97,1.119,1.116,42
e4-frspec32k-v2,prose,2,13.25,84.5,1.119,1.116,42
e4-frspec32k-v2,code,0,12.24,95.02,1.163,1.159,51
e4-frspec32k-v2,code,1,13.78,84.38,1.163,1.159,51
e4-frspec32k-v2,code,2,13.82,84.14,1.163,1.159,51
e4-frspec32k-v2,repeat,0,12.8,89.14,1.141,1.137,1020
e4-frspec32k-v2,repeat,1,13.44,84.88,1.141,1.137,1020
e4-frspec32k-v2,repeat,2,13.49,84.56,1.141,1.137,1020
e5-frspec-pread,prose,0,12.74,87.88,1.119,1.116,42
e5-frspec-pread,prose,1,12.89,86.83,1.119,1.116,42
e5-frspec-pread,prose,2,12.85,87.09,1.119,1.116,42
e5-frspec-pread,code,0,13.29,87.52,1.163,1.159,51
e5-frspec-pread,code,1,13.35,87.07,1.163,1.159,51
e5-frspec-pread,code,2,13.48,86.23,1.163,1.159,51
e5-frspec-pread,repeat,0,13.08,87.23,1.141,1.137,1020
e5-frspec-pread,repeat,1,13.11,86.98,1.141,1.137,1020
e5-frspec-pread,repeat,2,13.04,87.47,1.141,1.137,1020
e6-frspec-full,prose,0,24.14,86.89,2.098,2.098,42
e6-frspec-full,prose,1,24.28,86.4,2.098,2.098,42
e6-frspec-full,prose,2,24.2,86.7,2.098,2.098,42
e6-frspec-full,code,0,35.26,88.63,3.125,3.146,51
e6-frspec-full,code,1,36.17,86.4,3.125,3.146,51
e6-frspec-full,code,2,36.19,86.35,3.125,3.146,51
e6-frspec-full,repeat,0,43.39,88.65,3.846,3.833,1020
e6-frspec-full,repeat,1,42.73,90.01,3.846,3.833,1020
e6-frspec-full,repeat,2,43.34,88.75,3.846,3.833,1020
e7-mtp0,prose,0,14.02,71.34,1.0,1.0,42
e7-mtp0,prose,1,15.14,66.05,1.0,1.0,42
e7-mtp0,prose,2,15.04,66.47,1.0,1.0,42
e7-mtp0,code,0,14.22,70.32,1.0,1.0,51
e7-mtp0,code,1,15.1,66.21,1.0,1.0,51
e7-mtp0,code,2,15.15,66.03,1.0,1.0,51
e7-mtp0,repeat,0,14.96,66.83,1.0,1.0,1020
e7-mtp0,repeat,1,15.08,66.3,1.0,1.0,1020
e7-mtp0,repeat,2,15.03,66.54,1.0,1.0,1020
e9-baseline-warm,prose,0,17.21,122.73,2.113,2.113,42
e9-baseline-warm,prose,1,20.15,104.84,2.113,2.113,42
e9-baseline-warm,prose,2,20.15,104.86,2.113,2.113,42
e9-baseline-warm,code,0,26.29,122.71,3.226,3.247,51
e9-baseline-warm,code,1,30.71,105.04,3.226,3.247,51
e9-baseline-warm,code,2,30.35,106.28,3.226,3.247,51
e9-baseline-warm,repeat,0,35.57,109.54,3.896,3.909,1020
e9-baseline-warm,repeat,1,35.53,109.67,3.896,3.909,1020
e9-baseline-warm,repeat,2,35.41,110.03,3.896,3.909,1020
e9-warm-p1,prose,0,20.11,105.03,2.113,2.113,42
e9-warm-p1,prose,1,20.14,104.88,2.113,2.113,42
e9-warm-p1,code,0,30.32,106.39,3.226,3.247,51
e9-warm-p1,code,1,30.52,105.68,3.226,3.247,51
e9-warm-p1,repeat,0,35.41,110.02,3.896,3.909,1020
e9-warm-p1,repeat,1,35.69,109.16,3.896,3.909,1020
e9-warm-p2,prose,0,20.09,105.17,2.113,2.113,42
e9-warm-p2,prose,1,20.0,105.64,2.113,2.113,42
e9-warm-p2,code,0,30.15,106.98,3.226,3.247,51
e9-warm-p2,code,1,30.62,105.37,3.226,3.247,51
e9-warm-p2,repeat,0,35.92,108.48,3.896,3.909,1020
e9-warm-p2,repeat,1,35.83,108.73,3.896,3.909,1020
e9-warm-p3,prose,0,20.02,105.51,2.113,2.113,42
e9-warm-p3,prose,1,20.07,105.25,2.113,2.113,42
e9-warm-p3,code,0,30.25,106.62,3.226,3.247,51
e9-warm-p3,code,1,30.52,105.7,3.226,3.247,51
e9-warm-p3,repeat,0,35.84,108.7,3.896,3.909,1020
e9-warm-p3,repeat,1,35.81,108.8,3.896,3.909,1020
